name,freereturns,itemssold,status,price,shipping
Apple iPhone SE 2nd Gen. (PRODUCT)RED - 64GB (Verizon) A2275 (CDMA + GSM),False,,Open Box,25000,520
New ListingApple iPhone 13 (PRODUCT)RED - 128GB - (T-Mobile) - Financed,False,,Brand New,80000,1270
Apple Silicone Case for iPhone 11 Pro Max - (PRODUCT)RED,False,,Brand New,1800,
"Apple iPhone Box Empty Original iPhone 11 Pro Max, 11 Slim, XS, XS Max, XR, SE",False,,Pre-Owned,649,0
Original Apple Mac Product Brand Tee Shirt Rare w Store Names Adult Size Medium,False,,Pre-Owned,800,550
Apple iPhone 11 64GB 128GB 256GB AT&T Sprint T-Mobile Unlocked Verizon Good,True,0,Pre-Owned,39999,0
New ListingApple iPhone 11 (PRODUCT)RED - 64GB - T-Mobile,False,,Pre-Owned,60000,1500
Apple iPhone 11 (PRODUCT)RED - 64GB Smartphone AS IS,True,,Parts Only,10000,500
2017 OEM Apple iPhone X Product Red Leather Case w/Box C1,False,,Open Box,2999,0
"Apple iPhone 11 (PRODUCT)RED - 64GB (Unlocked) A2111. Cracked Screen,Phone Works",False,,Parts Only,40000,0
Apple iPhone 11 64GB (Product)Red AT&T 87% Battery Capacity! + Free Items,False,,Pre-Owned,37500,0
Apple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) A1984 (CDMA + GSM),True,,Parts Only,20150,0
 Apple iPhone 12 (PRODUCT)RED - 64GB (T-Mobile) Smartphone AS IS,True,,Parts Only,25600,500
New ListingApple iPhone 12 mini (PRODUCT)RED - 64GB (AT&T),False,,Pre-Owned,44200,540
New Genuine Apple Watch Solo Loop Band Strap For Apple Watch 40/44mm Official,False,0,Brand New,3321,2094
Apple iPhone 11 (PRODUCT)RED - 64GB (Unlocked) A2111 (CDMA + GSM),False,,Open Box,42500,1065
Apple iPhone 12 (PRODUCT)RED - 128GB (T-Mobile),False,,Open Box,73400,880
Apple iPhone 11 (PRODUCT)RED - 64GB (T-mobile Sprint )  A Excellent,True,0,Excellent - Refurbished,40999,
Apple Leather Case for iPhone 11 Pro Max - (PRODUCT)RED,False,,Brand New,2990,
Apple iPhone 12 (PRODUCT)RED - 64GB (Unlocked) Excellent Condition,False,,Pre-Owned,59900,550
